title,first_submission_date,source_tag,source_detail,entry_type,trust_note
Fine-Grained Alignment in Vision-and-Language Navigation through Bayesian Optimization,2024-11-22,arxiv-search,seeded from systematic arXiv sweep for direct VLN titles,direct-vln-paper,trusted
Vision-Language Navigation with Energy-Based Policy,2024-10-18,arxiv-search,seeded from systematic arXiv sweep for direct VLN titles,direct-vln-paper,trusted
Exploring Spatial Representation to Enhance LLM Reasoning in Aerial Vision-Language Navigation,2024-10-11,arxiv-search,seeded from systematic arXiv sweep for direct VLN titles,aerial-vln-paper,trusted
Navigating the Nuances: A Fine-grained Evaluation of Vision-Language Navigation,2024-09-25,arxiv-search,seeded from systematic arXiv sweep for direct VLN titles,evaluation-paper,trusted
Seeing is Believing? Enhancing Vision-Language Navigation using Visual Perturbations,2024-09-09,arxiv-search,seeded from systematic arXiv sweep for direct VLN titles,generalization-paper,trusted
Vision-Language Navigation with Continual Learning,2024-09-04,arxiv-search,seeded from systematic arXiv sweep for direct VLN titles,continual-learning-paper,trusted
Cog-GA: A Large Language Models-based Generative Agent for Vision-Language Navigation in Continuous Environments,2024-09-04,arxiv-search,seeded from systematic arXiv sweep for direct VLN titles,llm-era-paper,trusted
Loc4Plan: Locating Before Planning for Outdoor Vision and Language Navigation,2024-08-09,arxiv-search,seeded from systematic arXiv sweep for direct VLN titles,outdoor-vln-paper,trusted
PRET: Planning with Directed Fidelity Trajectory for Vision and Language Navigation,2024-07-16,arxiv-search,seeded from systematic arXiv sweep for direct VLN titles,direct-vln-paper,trusted
Why Only Text: Empowering Vision-and-Language Navigation with Multi-modal Prompts,2024-06-04,arxiv-search,seeded from systematic arXiv sweep for direct VLN titles,llm-era-paper,trusted
Correctable Landmark Discovery via Large Models for Vision-Language Navigation,2024-05-29,arxiv-search,seeded from systematic arXiv sweep for direct VLN titles,llm-era-paper,trusted
Vision-and-Language Navigation via Causal Learning,2024-04-16,arxiv-search,seeded from systematic arXiv sweep for direct VLN titles,direct-vln-paper,trusted
Continual Vision-and-Language Navigation,2024-03-22,arxiv-search,seeded from systematic arXiv sweep for direct VLN titles,continual-learning-paper,trusted
Volumetric Environment Representation for Vision-Language Navigation,2024-03-21,arxiv-search,seeded from systematic arXiv sweep for direct VLN titles,world-model-paper,trusted
Hierarchical Spatial Proximity Reasoning for Vision-and-Language Navigation,2024-03-18,arxiv-search,seeded from systematic arXiv sweep for direct VLN titles,direct-vln-paper,trusted
VLN-Video: Utilizing Driving Videos for Outdoor Vision-and-Language Navigation,2024-02-05,arxiv-search,seeded from systematic arXiv sweep for direct VLN titles,outdoor-vln-paper,trusted
NavHint: Vision and Language Navigation Agent with a Hint Generator,2024-02-04,arxiv-search,seeded from systematic arXiv sweep for direct VLN titles,direct-vln-paper,trusted
WebVLN: Vision-and-Language Navigation on Websites,2023-12-25,arxiv-search,seeded from systematic arXiv sweep for direct VLN titles,web-vln-paper,trusted secondary
DREAMWALKER: Mental Planning for Continuous Vision-Language Navigation,2023-08-14,arxiv-search,seeded from systematic arXiv sweep for direct VLN titles,continuous-vln-paper,trusted
Bird's-Eye-View Scene Graph for Vision-Language Navigation,2023-08-09,arxiv-search,seeded from systematic arXiv sweep for direct VLN titles,graph-paper,trusted
Scaling Data Generation in Vision-and-Language Navigation,2023-07-28,arxiv-search,seeded from systematic arXiv sweep for direct VLN titles,data-centric-paper,trusted
GridMM: Grid Memory Map for Vision-and-Language Navigation,2023-07-24,arxiv-search,seeded from systematic arXiv sweep for direct VLN titles,map-memory-paper,trusted
Learning Vision-and-Language Navigation from YouTube Videos,2023-07-22,arxiv-search,seeded from systematic arXiv sweep for direct VLN titles,data-centric-paper,trusted
Behavioral Analysis of Vision-and-Language Navigation Agents,2023-07-20,arxiv-search,seeded from systematic arXiv sweep for direct VLN titles,analysis-paper,trusted
Masked Path Modeling for Vision-and-Language Navigation,2023-05-23,arxiv-search,seeded from systematic arXiv sweep for direct VLN titles,pretraining-paper,trusted
ETPNav: Evolving Topological Planning for Vision-Language Navigation in Continuous Environments,2023-04-06,arxiv-search,seeded from systematic arXiv sweep for direct VLN titles,continuous-vln-paper,trusted
Actional Atomic-Concept Learning for Demystifying Vision-Language Navigation,2023-02-13,arxiv-search,seeded from systematic arXiv sweep for direct VLN titles,analysis-paper,trusted
CLIP-Nav: Using CLIP for Zero-Shot Vision-and-Language Navigation,2022-11-30,arxiv-search,seeded from systematic arXiv sweep for direct VLN titles,zero-shot-vln-paper,trusted
ULN: Towards Underspecified Vision-and-Language Navigation,2022-10-18,arxiv-search,seeded from systematic arXiv sweep for direct VLN titles,instruction-granularity-paper,trusted
Iterative Vision-and-Language Navigation,2022-10-06,arxiv-search,seeded from systematic arXiv sweep for direct VLN titles,continual-learning-paper,trusted
Anticipating the Unseen Discrepancy for Vision and Language Navigation,2022-09-10,arxiv-search,seeded from systematic arXiv sweep for direct VLN titles,generalization-paper,trusted
Target-Driven Structured Transformer Planner for Vision-Language Navigation,2022-07-19,arxiv-search,seeded from systematic arXiv sweep for direct VLN titles,planning-paper,trusted
ADAPT: Vision-Language Navigation with Modality-Aligned Action Prompts,2022-05-31,arxiv-search,seeded from systematic arXiv sweep for direct VLN titles,direct-vln-paper,trusted
Sim-2-Sim Transfer for Vision-and-Language Navigation in Continuous Environments,2022-04-20,arxiv-search,seeded from systematic arXiv sweep for direct VLN titles,continuous-vln-paper,trusted
FedVLN: Privacy-preserving Federated Vision-and-Language Navigation,2022-03-28,arxiv-search,seeded from systematic arXiv sweep for direct VLN titles,federated-vln-paper,trusted
Analyzing Generalization of Vision and Language Navigation to Unseen Outdoor Areas,2022-03-25,arxiv-search,seeded from systematic arXiv sweep for direct VLN titles,outdoor-vln-paper,trusted
HOP: History-and-Order Aware Pre-training for Vision-and-Language Navigation,2022-03-22,arxiv-search,seeded from systematic arXiv sweep for direct VLN titles,pretraining-paper,trusted
Cross-modal Map Learning for Vision and Language Navigation,2022-03-10,arxiv-search,seeded from systematic arXiv sweep for direct VLN titles,map-memory-paper,trusted
A Dataset for Interactive Vision-Language Navigation with Unknown Command Feasibility,2022-02-04,arxiv-search,seeded from systematic arXiv sweep for direct VLN titles,benchmark-paper,trusted secondary
Contrastive Instruction-Trajectory Learning for Vision-Language Navigation,2021-12-08,arxiv-search,seeded from systematic arXiv sweep for direct VLN titles,pretraining-paper,trusted
Structured Scene Memory for Vision-Language Navigation,2021-03-05,arxiv-search,seeded from systematic arXiv sweep for direct VLN titles,memory-paper,trusted
Sim-to-Real Transfer for Vision-and-Language Navigation,2020-11-07,arxiv-search,seeded from systematic arXiv sweep for direct VLN titles,real-world-vln-paper,trusted
VALAN: Vision and Language Agent Navigation,2019-12-06,arxiv-search,seeded from systematic arXiv sweep for direct VLN titles,framework-paper,trusted secondary
